Location_Name*,category*,Type*,Latitude,Longitude,Date,Open-Time,Closure Time,Status*,Satisfaction*
2,Complain,Traffic,29.83101037900770,31.35683551570600,2-Jan-24,23:00,23:00,Closed,Not satisfied
4,Complain,Traffic,29.83101037900770,31.35683551570600,4-Jan-24,11:00,11:00,Opend,Sattisfied
5,Complain,Security ,29.82766037334020,31.36626012699090,5-Jan-24,17:00,17:00,Opend,Sattisfied
6,Complain,Noise,29.83338353168140,31.35790034289940,6-Jan-24,23:00,23:00,Closed,Sattisfied
7,Complain,Cleaning,29.83244810015970,31.35880648052670,7-Jan-24,17:00,17:00,Closed,Not satisfied
8,Complain, Roads Issues,29.86994877970150,31.35179041230720,8-Jan-24,23:00,23:00,Closed,Not satisfied
9,Complain,Noise,29.83338353168140,31.35790034289940,6-Jan-24,5:00,5:00,Opend,Sattisfied
10,Complain,Pets Control,29.83196952156790,31.35847695257760,10-Jan-24,11:00,11:00,Opend,Sattisfied
11,Complain,Traffic,29.83101037900770,31.35683551570600,11-Jan-24,17:00,17:00,Closed ,Sattisfied
12,Complain,Security ,29.82766037334020,31.36626012699090,12-Jan-24,23:00,23:00,Closed,Sattisfied
13,Complain,Noise,29.82743269779400,31.36502134691570,13-Jan-24,5:00,5:00,Closed,Sattisfied
14,Complain,Pets Control,29.83196952156790,31.35847695257760,14-Jan-24,4:00,6:00,Closed,Sattisfied
15,Complain,Cleaning,29.83244810015970,31.35880648052670,15-Jan-24,17:00,17:00,Closed,Sattisfied
16,Complain, Roads Issues,29.86994877970150,31.35179041230720,16-Jan-24,23:00,23:00,Opend,Not satisfied
17,Complain,Noise,29.82743269779400,31.36502134691570,6-Jan-24,5:00,5:00,Opend,Sattisfied
18,Complain,Traffic,29.83101037900770,31.35683551570600,18-Jan-24,17:00,17:00,Closed,Sattisfied
19,Complain,Security ,29.82628653426300,31.36475041590610,19-Jan-24,23:00,23:00,Closed,Sattisfied
20,Complain,Noise,29.83338353168140,31.35790034289940,20-Jan-24,17:00,17:00,Closed,Sattisfied
21,Complain,Pets Control,29.83196952156790,31.35847695257760,21-Jan-24,23:00,23:00,Opend,Not satisfied
22,Complain, Roads Issues,29.86846803099480,31.36862427650460,22-Jan-24,17:00,17:00,Opend,Not satisfied
23,Complain,Noise,29.82743269779400,31.36502134691570,23-Jan-24,23:00,23:00,Closed ,Sattisfied
24,Complain,Cleaning,29.83244810015970,31.35880648052670,24-Jan-24,5:00,5:00,Closed,Sattisfied
25,Complain,Traffic,29.83101037900770,31.35683551570600,25-Jan-24,17:00,17:00,Closed,Sattisfied
26,Complain,Security ,29.82766037334020,31.36626012699090,26-Jan-24,23:00,23:00,Closed,Sattisfied
27,Complain,Noise,29.83338353168140,31.35790034289940,27-Jan-24,17:00,17:00,Closed,Sattisfied
28,Complain,Pets Control,29.83196952156790,31.35847695257760,28-Jan-24,23:00,23:00,Opend,Sattisfied
29,Complain,Pets Control,29.83196952156790,31.35847695257760,29-Jan-24,17:00,17:00,Opend,Sattisfied
30,Complain, Roads Issues,29.86994877970150,31.35179041230720,30-Jan-24,23:00,23:00,Closed,Not satisfied
31,Complain,Noise,29.83338353168140,31.35790034289940,31-Jan-24,5:00,5:00,Closed,Sattisfied
32,Complain,Traffic,29.83101037900770,31.35683551570600,1-Feb-24,17:00,17:00,Closed,Sattisfied
33,Complain,Security ,29.82628653426300,31.36475041590610,2-Feb-24,23:00,23:00,Opend,Sattisfied
34,Complain, Roads Issues,29.86994877970150,31.35179041230720,3-Feb-24,17:00,17:00,Opend,Sattisfied
35,Complain,Noise,29.82743269779400,31.36502134691570,4-Feb-24,23:00,23:00,Closed ,Not satisfied
36,Complain,Cleaning,29.83244810015970,31.35880648052670,5-Feb-24,17:00,17:00,Closed,Not satisfied
37,Complain, Roads Issues,29.86846803099480,31.36862427650460,6-Feb-24,23:00,23:00,Closed,Sattisfied
38,Complain,Pets Control,29.83196952156790,31.35847695257760,7-Feb-24,5:00,5:00,Closed,Sattisfied
39,Complain,Traffic,29.85248718816830,31.36624527862900,8-Feb-24,17:00,17:00,Closed,Sattisfied
